Symptoms,Disease,Description,Solution
"fever, cough, fatigue",Influenza,A viral infection that attacks the respiratory system.,"Rest, fluids, and over-the-counter medications."
"chest pain, shortness of breath, dizziness",Heart Attack,A blockage of blood flow to the heart muscle.,Immediate medical attention and medications to dissolve the clot.
"headache, nausea, sensitivity to light",Migraine,"A headache of varying intensity, often accompanied by nausea and sensitivity to light.",Pain relief medications and avoiding triggers.
"sore throat, difficulty swallowing, fever",Strep Throat,A bacterial infection that causes pain and inflammation in the throat.,Antibiotics and pain relievers.
"abdominal pain, diarrhea, weight loss",Crohn's Disease,A chronic inflammatory bowel disease that affects the lining of the digestive tract.,Medications and lifestyle changes.
"joint pain, stiffness, swelling",Arthritis,"Inflammation of one or more joints, causing pain and stiffness.","Medications, physical therapy, and sometimes surgery."
"itchy skin, redness, swelling",Eczema,A condition that makes your skin red and itchy.,Moisturizers and prescription medications.
"frequent urination, increased thirst, fatigue",Diabetes,A group of diseases that result in too much sugar in the blood.,"Lifestyle changes, medications, and monitoring blood sugar levels."
"weight gain, cold intolerance, fatigue",Hypothyroidism,A condition in which the thyroid gland doesn't produce enough thyroid hormone.,Thyroid hormone replacement therapy.
"dry cough, shortness of breath, chest pain",Pneumonia,An infection that inflames the air sacs in one or both lungs.,Antibiotics and rest.
"fever, rash, joint pain",Dengue Fever,A mosquito-borne viral infection causing severe flu-like symptoms.,Supportive care and fluids.
"muscle weakness, trouble swallowing, drooping eyelids",Myasthenia Gravis,A neuromuscular disease that leads to varying degrees of skeletal muscle weakness.,Medications and sometimes surgery.
"severe chest pain, sweating, nausea",Angina,Chest pain caused by reduced blood flow to the heart muscles.,Medications and lifestyle changes.
"yellow skin, fatigue, dark urine",Hepatitis,An inflammation of the liver.,Antiviral medications and supportive care.
"frequent headaches, difficulty concentrating, memory loss",Brain Tumor,A mass or growth of abnormal cells in the brain.,"Surgery, radiation therapy, or chemotherapy."
"high fever, chills, shaking, sweating",Malaria,A mosquito-borne infectious disease affecting humans and other animals.,Antimalarial medications.
"persistent cough, coughing up blood, weight loss",Tuberculosis,An infectious disease that mainly affects the lungs.,Long-term antibiotics.
"high blood pressure, headache, blurred vision",Hypertension,A condition in which the force of the blood against the artery walls is too high.,Lifestyle changes and medications.
"chest tightness, wheezing, shortness of breath",Asthma,A condition in which your airways narrow and swell and may produce extra mucus.,Inhalers and other medications.
"swollen lymph nodes, night sweats, unexplained weight loss",Lymphoma,A cancer of the lymphatic system.,"Chemotherapy, radiation therapy, or stem cell transplant."
"extreme fatigue, pale skin, shortness of breath",Anemia,A condition in which you lack enough healthy red blood cells to carry adequate oxygen to your tissues.,Iron supplements and dietary changes.
"painful urination, blood in urine, frequent urination",UTI,An infection in any part of the urinary system.,Antibiotics and drinking plenty of water.
"muscle pain, tenderness, fatigue",Fibromyalgia,"A disorder characterized by widespread musculoskeletal pain accompanied by fatigue, sleep, memory, and mood issues.",Medications and lifestyle changes.
"confusion, high fever, stiff neck",Meningitis,An inflammation of the membranes surrounding your brain and spinal cord.,Antibiotics and supportive care.
"painful, swollen joints, fever, rash",Rheumatic Fever,"An inflammatory disease that can involve the heart, joints, skin, and brain.",Antibiotics and anti-inflammatory medications.
"severe abdominal pain, bloating, nausea",Appendicitis,An inflammation of the appendix.,Surgery to remove the appendix.
"fever, dry cough, loss of taste or smell",COVID-19,A highly infectious respiratory disease caused by the coronavirus.,"Rest, fluids, and medications."
"swollen, painful gums, bad breath",Gingivitis,Inflammation of the gums.,Good oral hygiene and professional dental cleaning.
"burning sensation during urination, lower abdominal pain",Urethritis,An infection of the urethra.,Antibiotics and drinking plenty of water.
"intense itching, thin grayish-white discharge",Yeast Infection,A fungal infection typically on the skin or mucous membranes.,Antifungal medications.
"yellowing of the skin and eyes, dark urine, abdominal pain",Jaundice,A condition in which the skin and the whites of the eyes turn yellow.,Treatment of the underlying cause.
